date,tweet4
2020-07-24 16:43:37,فیصد آبادی پنجاب دی تے جو کجھ وڈے میاں جی نے کیتا کوی مای دا لال اس پنجاب لئ نہیں کر سکدا مگر اس دے بدلے اسی پنجابیاں نے کی دتا سب توں زیادہ تبدیلی دا کیڑا اس پنجاب نو سی بھانوِیں ایلیٹ کلاس سی یا لویر کلاس یا فیر اسٹیبلشمنٹ سارے پنجابی مستحق اس بربادی دے تے زمہ دار 🙏
2020-07-24 12:49:02,مرحبا بالامس قمت بطلب عبر تطبيق ماي اس سي لنقل خطي مشغل اخر الى اس سي وصول المندوب وعطاني الشريحه وقالي خلال ساعة تتفعل وحتى الان مرت اكثر مو ساعة وشريحتي بالمشغل القديم تشتغل وشريحتكم ماتشتغل وكلمت المندوب يقول انا مجرد مندوب ماعرف
2020-07-23 22:30:45,قائمة الجوالات مو موجوده تطبيق ماي اس سي عشان اطلب
2020-07-23 17:10:44,يمكن عنده اعلان حق ماي اس سي وبيطلبه جوال 🤣
2020-07-23 05:29:11,الافضل عم تجربه تشتري ماي اس سي يوصلونه اين بيتكم والفاتوره ألكترونيه زياده المحلات ب تقريبا
2020-07-22 20:38:13,ابغى احول مبلغ دولي للعمالة منزليه عندها حساب احول ماي اس سي باي
2020-07-22 16:19:59,اقسم بالله العظيم يشغلون الخدمة شهر فيك خير حاول تشغلها الشهر الثاني مراسلات ، اتصال ، تويتر ، برنامج ماي اس سي حياة لمن تنادي شركة تعطيك الطعم ، تقضي مقابل خدمة مهترئة حسبي الله ونعم الوكيل فيهم
2020-07-22 09:48:46,وقف خدمة الشراء المباشر طريق ماي اس سي
2020-07-22 09:18:11,الي اعرفه اغلبية المتاجر نقاط بريال ، ادخلي ماي اس سي وشوفي المتاجر
2020-07-21 23:18:58,مای تیری پچھلی کتاب تے نہیں وکی چل ھن اغوا تے کتاب لکھ دے۔۔۔ اس سے پیلے اپنئ بھگوڑی گیراج والی مالکن سے ملاقات کر لین
2020-07-21 16:45:12,احاول ادخل تطبيق ماي اس سي تطلعلي الرسالة اللي الصورة اتمنى مساعدتي حل المشكلة
2020-07-21 15:40:08,السلام عليكم ورحمة الله وبركاته مساء الخير دخولي تطبيق ماي اس سي اريد الحصول رقم جديد الخدمه متاحه الوقت الحالي اريد ان اروح ابعد اس سي
